sepal_length,sepal_width,petal_length,petal_width,species,sepal_area,petal_area
-0.052331,-0.816431,0.760212,0.918985,Iris-virginica,0.042724,0.698623
1.517592,-0.124540,1.213619,1.181053,Iris-virginica,0.189002,1.433348
0.551486,-0.355171,1.043591,0.787951,Iris-virginica,0.195872,0.822299
0.793012,-0.124540,1.156943,1.312087,Iris-virginica,0.098762,1.518010
2.121409,-0.124540,1.610349,1.181053,Iris-virginica,0.264201,1.901908
-1.139200,-1.277692,0.420157,0.656917,Iris-virginica,1.455547,0.276008
1.759119,-0.355171,1.440322,0.787951,Iris-virginica,0.624787,1.134903
1.034539,-1.277692,1.156943,0.787951,Iris-virginica,1.321822,0.911614
1.638355,1.259242,1.326970,1.705189,Iris-virginica,2.063085,2.262735
0.793012,0.336720,0.760212,1.050019,Iris-virginica,0.267023,0.798237
0.672249,-0.816431,0.873564,0.918985,Iris-virginica,0.548845,0.802792
1.155302,-0.124540,0.986915,1.181053,Iris-virginica,0.143882,1.165599
-0.173094,-1.277692,0.703536,1.050019,Iris-virginica,0.221161,0.738726
-0.052331,-0.585801,0.760212,1.574155,Iris-virginica,0.030655,1.196691
0.672249,0.336720,0.873564,1.443121,Iris-virginica,0.226360,1.260658
0.793012,-0.124540,0.986915,0.787951,Iris-virginica,0.098762,0.777641
2.242172,1.720502,1.667025,1.312087,Iris-virginica,3.857662,2.187282
2.242172,-1.047062,1.780377,1.443121,Iris-virginica,2.347692,2.569299
0.189196,-1.969583,0.703536,0.394849,Iris-virginica,0.372637,0.277791
1.276066,0.336720,1.100267,1.443121,Iris-virginica,0.429677,1.587818
-0.293857,-0.585801,0.646860,1.050019,Iris-virginica,0.172142,0.679216
2.242172,-0.585801,1.667025,1.050019,Iris-virginica,1.313467,1.750408
0.551486,-0.816431,0.646860,0.787951,Iris-virginica,0.450250,0.509694
1.034539,0.567351,1.100267,1.181053,Iris-virginica,0.586946,1.299474
1.638355,0.336720,1.270294,0.787951,Iris-virginica,0.551668,1.000930
0.430722,-0.585801,0.590184,0.787951,Iris-virginica,0.252318,0.465036
0.309959,-0.124540,0.646860,0.787951,Iris-virginica,0.038602,0.509694
0.672249,-0.585801,1.043591,1.181053,Iris-virginica,0.393804,1.232536
1.638355,-0.124540,1.156943,0.525883,Iris-virginica,0.204041,0.608417
1.879882,-0.585801,1.326970,0.918985,Iris-virginica,1.101237,1.219466
2.483699,1.720502,1.496998,1.050019,Iris-virginica,4.273209,1.571876
0.672249,-0.585801,1.043591,1.312087,Iris-virginica,0.393804,1.369282
0.551486,-0.585801,0.760212,0.394849,Iris-virginica,0.323061,0.300169
0.309959,-1.047062,1.043591,0.263815,Iris-virginica,0.324546,0.275315
2.242172,-0.124540,1.326970,1.443121,Iris-virginica,0.279241,1.914979
0.551486,0.797981,1.043591,1.574155,Iris-virginica,0.440075,1.642774
0.672249,0.106090,0.986915,0.787951,Iris-virginica,0.071319,0.777641
0.189196,-0.124540,0.590184,0.787951,Iris-virginica,0.023563,0.465036
1.276066,0.106090,0.930239,1.181053,Iris-virginica,0.135378,1.098662
1.034539,0.106090,1.043591,1.574155,Iris-virginica,0.109754,1.642774
1.276066,0.106090,0.760212,1.443121,Iris-virginica,0.135378,1.097078
-0.052331,-0.816431,0.760212,0.918985,Iris-virginica,0.042724,0.698623
1.155302,0.336720,1.213619,1.443121,Iris-virginica,0.389014,1.751398
1.034539,0.567351,1.100267,1.705189,Iris-virginica,0.586946,1.876163
1.034539,-0.124540,0.816888,1.443121,Iris-virginica,0.128842,1.178868
0.551486,-1.277692,0.703536,0.918985,Iris-virginica,0.704629,0.646539
0.793012,-0.124540,0.816888,1.050019,Iris-virginica,0.098762,0.857748
0.430722,0.797981,0.930239,1.443121,Iris-virginica,0.343708,1.342448
0.068433,-0.124540,0.760212,0.787951,Iris-virginica,0.008523,0.599010
